id,type,text,correctAnswer,explanation
001,true-false,"柴油引擎，是用火星塞點火的。",X,
002,true-false,"柴油引擎在進氣行程時，吸入汽缸之氣體為純空氣。",O,
003,true-false,"柴油引擎若因缺油不能發動，應拆開柴油噴射泵檢查。",X,
004,true-false,"柴油引擎係靠壓縮空氣產生之高溫使燃料著火燃燒。",O,
005,true-false,"柴油引擎在高轉速時，容易產生爆震。",X,
006,true-false,"柴油引擎裝設預熱塞之目的，是使汽車行駛中柴油容易著火燃燒。",X,
007,true-false,"為保持柴油引擎燃料系統作用正常，應裝燃油濾清器，濾除燃油中雜質及 水份。",O,
008,true-false,"空氣煞車系統管路漏氣，造成氣壓不足時，彈簧煞車會自動煞住，無法行 駛。",O,
009,true-false,"柴油引擎在進氣管道裝設進氣加熱器之目的，能使冷引擎容易發動。",O,
010,true-false,"柴油引擎冒黑煙，有可能是噴油嘴不良。",O,
011,true-false,"柴油進入汽缸是靠化油器供應燃料。",X,
012,true-false,"柴油引擎發生逆轉時，應使引擎馬上熄火。",O,
013,true-false,"柴油車超載或急加速行駛，容易產生黑煙。",O,
014,true-false,"柴油引擎使用之燃料具有潤滑效果。",O,
015,true-false,"後輪雙胎併裝時，最好使用相同花紋的輪胎，若有新舊兩胎併用時，新胎 應裝在外側。",O,
016,true-false,"輪胎氣壓的測量調節工作，應在輪胎常溫時進行。",O,
017,true-false,"輪胎氣壓過高或過低，將會縮短使用壽命，且容易爆裂。",O,
018,true-false,"輪胎的型式與使用狀況需配合，粗紋輪胎會增加滾動阻力。",O,
019,true-false,"可傾斜式駕駛室例行的檢查保養，由於工作簡單，只要將駕駛室傾斜到一 半，即可進行作業，無須先做好其它安全配合措施。",X,
020,true-false,"煞車來令片磨損以後，煞車踏皮行程將會增大，可能導致煞車功能減退， 需儘速送廠檢修調整。",O,
021,true-false,"柴油車行駛下坡路段時，需配合適當檔位及排氣煞車，以免過度使用煞 車，造成煞車減退。",O,
