id,type,text,options,correctAnswer
001,multiple-choice,"柴油引擎燃燒是靠","{""1"":""空氣壓縮後所產生之高溫著火"",""2"":""火星塞點 火"",""3"":""空氣和柴油混合壓縮之高溫著火""}",1
002,multiple-choice,"柴油引擎在壓縮行程是","{""1"":""壓縮純柴油"",""2"":""壓縮空氣與柴油的混合 氣"",""3"":""壓縮純空氣""}",3
003,multiple-choice,"柴油進入汽缸是靠","{""1"":""化油器"",""2"":""大氣壓力"",""3"":""噴射泵與噴油 嘴""}",3
004,multiple-choice,"柴油引擎的水套功能是","{""1"":""潤滑"",""2"":""冷卻"",""3"":""傳動""}",2
005,multiple-choice,"柴油引擎，正常工作溫度為","{""1"":""華氏７０度至８５度"",""2"":""攝氏７ ５度到９５度"",""3"":""攝氏１４０度到１８０度""}",2
006,multiple-choice,"柴油引擎之噴油嘴，噴入汽缸的是","{""1"":""純柴油"",""2"":""柴油與空氣的混 合汽"",""3"":""純空氣""}",1
007,multiple-choice,"將柴油以霧狀噴入汽缸的是","{""1"":""化油器"",""2"":""噴油嘴"",""3"":""供油 泵""}",2
008,multiple-choice,"柴油車行駛時冒黑煙，其可能原因","{""1"":""燃燒機油"",""2"":""噴油嘴不良"",""3"":""燃料系統有空氣""}",2
009,multiple-choice,"柴油車行駛中遇油箱燃油用盡缺油","{""1"":""將燃油加入即可"",""2"":""燃油加 入油箱後，需再排除供油系統中的空氣"",""3"":""以上皆可""}",2
010,multiple-choice,"柴油引擎之壓縮比及燃燒壓力較汽油引擎","{""1"":""高"",""2"":""低"",""3"":""一 樣""}",1
011,multiple-choice,"同等級柴油引擎之震動及噪音較汽油引擎為","{""1"":""大"",""2"":""小"",""3"":""一樣""}",1
012,multiple-choice,"輪胎氣壓不足時，易造成","{""1"":""輪胎兩側磨損"",""2"":""輪胎中央磨損"",""3"":""無任何影響""}",1
013,multiple-choice,"汽車左右輪胎磨耗不均可能是","{""1"":""煞車不良"",""2"":""引擎不順"",""3"":""汽車定位失常""}",3
014,multiple-choice,"拆輪胎螺帽需用","{""1"":""開口扳手"",""2"":""套筒扳手"",""3"":""螺絲起子""}",2
015,multiple-choice,"可傾斜式駕駛室之大型車，在其放下駕駛室時","{""1"":""蜂鳴器停止即可"",""2"":""蜂鳴器停止，且需完全降到定位"",""3"":""放到定位，安全鉤掛上才算完成""}",3
016,multiple-choice,"大型車裝有排氣煞車使用於","{""1"":""加速時"",""2"":""減速時"",""3"":""定速 時""}",2
017,multiple-choice,"煞車來令片磨損，則煞車踏板空檔會","{""1"":""變大"",""2"":""變小"",""3"":""不 變""}",1
018,multiple-choice,"雙迴路煞車系統，如有一分缸漏油，則煞車","{""1"":""另外三個車輪仍有煞 車"",""2"":""完全沒有煞車"",""3"":""另一組車輪仍有煞車""}",3
019,multiple-choice,"大型車的手煞車，通常是煞住","{""1"":""傳動軸及後輪"",""2"":""曲軸"",""3"":""前輪""}",1
020,multiple-choice,"如果有一個輪子煞車咬死，它可能的故障是在","{""1"":""真空動力缸"",""2"":""煞車總缸"",""3"":""該輪分缸或煞車機構""}",3
021,multiple-choice,"踩下煞車踏板時，煞車踏板感到軟軟的是因為","{""1"":""油管阻塞"",""2"":""漏 油或煞車油管內有空氣"",""3"":""煞車來令片上有機油""}",2
022,multiple-choice,"放鬆手煞車應該在","{""1"":""發動引擎前"",""2"":""發動引擎後換檔前"",""3"":""入檔後起步前""}",3
023,multiple-choice,"為維護氣壓煞車系統之正常功能，貯氣箱","{""1"":""每天行駛後至少需排水 一次"",""2"":""一週排水一次"",""3"":""定期保養時排水""}",1
024,multiple-choice,"過度使用煞車會造成","{""1"":""來令片及煞車鼓過熱煞車效果會降低"",""2"":""只有來令片會過熱，但不影響煞車效果"",""3"":""不會影響煞車效 果""}",1
025,multiple-choice,"汽車下陡坡或下長坡路段時，如何防止煞車效能減低","{""1"":""踩煞車踏板 即可"",""2"":""踩煞車踏板及配合引擎煞車"",""3"":""踩煞車踏板，並有效地使 用引擎煞車或排氣煞車""}",3
026,multiple-choice,"壓縮空氣輔助煞車，通常用於","{""1"":""小型車"",""2"":""大型車"",""3"":""大、 小型車都有""}",2
027,multiple-choice,"離合器踏板空檔過大則","{""1"":""換檔困難"",""2"":""引擎輸出馬力降低"",""3"":""離合器打滑""}",1
028,multiple-choice,"離合器放鬆不完全時","{""1"":""過度磨損離合器片"",""2"":""容易換檔"",""3"":""輪胎容易磨損""}",1
029,multiple-choice,"後輪雙胎併裝時，其輪胎氣壓之誤差不得超過","{""1"":""５％"",""2"":""１ ５％"",""3"":""２５％，否則容易引起爆胎""}",1
030,multiple-choice,"動力轉向機使用之油料為","{""1"":""引擎機油"",""2"":""變速箱齒輪油"",""3"":""特定專用之油料""}",3
031,multiple-choice,"自排車停駐時，排檔桿應置於","{""1"":""Ｐ檔"",""2"":""Ｒ檔"",""3"":""Ｎ檔，並 同時使用手煞車""}",1
032,multiple-choice,"引擎正常工作溫度應","{""1"":""冬天較高"",""2"":""夏天較低"",""3"":""保持一定 範圍內之溫度""}",3
033,multiple-choice,"汽油引擎排氣顏色呈黑色，其可能原因為","{""1"":""化油器不良"",""2"":""機油 添加過多"",""3"":""汽門燒毀""}",1
034,multiple-choice,"引擎過熱其可能原因為","{""1"":""活塞環斷裂"",""2"":""電動風扇不轉"",""3"":""冷氣不作用""}",2
035,multiple-choice,"裝用三元觸媒轉換器之汽車，需使用","{""1"":""低鉛汽油"",""2"":""無鉛汽油"",""3"":""高級汽油""}",2
036,multiple-choice,"液化石油氣引擎之點火燃燒是靠","{""1"":""火星塞點火"",""2"":""預熱塞加熱"",""3"":""高壓高溫自燃著火""}",1
037,multiple-choice,"電腦控制汽油噴射引擎與化油器汽油引擎比較，其主要優點為","{""1"":""排 氣污染降低並節省燃料"",""2"":""汽缸壓縮比提高"",""3"":""引擎震動降低""}",1
038,multiple-choice,"引擎發動後，再轉動發火開關，則容易損壞","{""1"":""起動馬達"",""2"":""發電 機"",""3"":""離合器""}",1
039,multiple-choice,"四行程引擎油底殼內需加","{""1"":""機油與汽油之混合油"",""2"":""齒輪油"",""3"":""機油""}",3
040,multiple-choice,"四行程汽油引擎正常之排氣顏色為","{""1"":""黑色"",""2"":""藍白色"",""3"":""無 色""}",3
041,multiple-choice,"冷引擎剛發動，不宜猛踩油門踏板，其最主要原因為","{""1"":""易熄火，且 浪費燃油"",""2"":""易縮短引擎使用壽命"",""3"":""以上皆是""}",3
042,multiple-choice,"引擎冷卻系統之節溫器通常裝在","{""1"":""水箱內"",""2"":""引擎出水口處"",""3"":""引擎水套內""}",2
043,multiple-choice,"比較不會產生排氣污染，且噪音較小之汽車為","{""1"":""柴油車"",""2"":""汽油 車"",""3"":""電動汽車""}",3
044,multiple-choice,"往復活塞式引擎中震動及噪音較大者為","{""1"":""柴油引擎"",""2"":""汽油引 擎"",""3"":""液化石油氣引擎""}",1
045,multiple-choice,"汽車引擎於何種轉速的扭力最大及平均耗燃油率最低","{""1"":""低轉速"",""2"":""中轉速"",""3"":""高轉速""}",2
046,multiple-choice,"汽油引擎之熄火方式是","{""1"":""切斷燃油"",""2"":""使火星塞不點火"",""3"":""降低汽缸壓力""}",2
047,multiple-choice,"油量正常時，汽油引擎無法發動應先檢查下列那一項","{""1"":""火星塞是否 點火"",""2"":""汽缸壓力"",""3"":""汽門腳間隙""}",1
048,multiple-choice,"在室內發動引擎時，最需注意的是那一項","{""1"":""車庫通風是否良好"",""2"":""汽門腳有無噪音"",""3"":""活塞有無異音""}",1
049,multiple-choice,"排氣渦輪增壓器使用時之優點有","{""1"":""改善引擎怠速之性能"",""2"":""提升 引擎馬力輸出或提高燃油效率"",""3"":""提升引擎定速之性能""}",2
050,multiple-choice,"引擎之故障燈亮，但是引擎還會發動，其對策為","{""1"":""立即停止使用， 等待救援"",""2"":""只要引擎能動就無大礙"",""3"":""尚可行駛，但需儘速送廠 檢修""}",3
051,multiple-choice,"液化石油氣引擎之優點為","{""1"":""可獲得較低之排氣污染"",""2"":""引擎內部 機件免用機油潤滑"",""3"":""不會造成噪音""}",1
052,multiple-choice,"駕駛液化石油氣汽車，當聞到瓦斯味道時，其正確的處理方法是","{""1"":""將汽車停駛"",""2"":""關掉引擎，打開引擎蓋及後行李箱蓋"",""3"":""以上皆 是""}",3
053,multiple-choice,"使用液化石油氣汽車的燃料鋼瓶要充填","{""1"":""液化石油氣"",""2"":""汽油"",""3"":""柴油""}",1
054,multiple-choice,"使用手動阻風門之汽油引擎，在引擎低溫時，正確的起動方法","{""1"":""拉 阻風門"",""2"":""直接轉動起動馬達"",""3"":""連續踩放油門踏板數次""}",1
055,multiple-choice,"汽車行駛中引擎溫度較正常工作溫度為低會造成","{""1"":""冷卻系統容易損 壞"",""2"":""較耗油"",""3"":""化油器易阻塞""}",2
056,multiple-choice,"發動汽油噴射引擎的正確方法為","{""1"":""連續踩放油門踏板數次"",""2"":""可 直接起動引擎"",""3"":""操作阻風機構""}",2
057,multiple-choice,"冷卻系統副水箱液面太高，其可能故障為","{""1"":""水箱漏水"",""2"":""壓力式 水箱蓋不良"",""3"":""節溫器未裝""}",2
058,multiple-choice,"引擎高溫時旋開水箱蓋會造成","{""1"":""高溫水氣噴出而傷人"",""2"":""節溫器 損壞"",""3"":""水箱破裂""}",1
059,multiple-choice,"空氣濾清器的功用是","{""1"":""防止灰塵侵入汽缸"",""2"":""防止回火傳到外面 造成危險"",""3"":""以上均是""}",3
060,multiple-choice,"引擎低轉速時，機油壓力警告燈閃亮，可能之故障為","{""1"":""機油量太 多"",""2"":""引擎內部各軸承機件磨損過多"",""3"":""活塞油環斷裂""}",2
061,multiple-choice,"氣冷式引擎的缺點為","{""1"":""故障多"",""2"":""構造複雜"",""3"":""噪音大冷卻 效果較不穩定""}",3
062,multiple-choice,"引擎冷卻水，何者為最佳","{""1"":""軟水"",""2"":""硬水"",""3"":""含礦物質較高 的水""}",1
063,multiple-choice,"引擎過熱而發電機又不發電，可能是","{""1"":""冷卻水不足"",""2"":""風扇皮帶 太鬆或折斷"",""3"":""活塞環卡住""}",2
064,multiple-choice,"冷卻水含有很多乳白狀機油，可能是","{""1"":""機油濾清器不良"",""2"":""汽缸 墊床不良"",""3"":""節溫器不良""}",2
065,multiple-choice,"引擎發動很久無法到正常工作溫度，可能是","{""1"":""節溫器損壞或未裝"",""2"":""機油添加過多"",""3"":""排氣管阻塞""}",1
066,multiple-choice,"經常踩著離合器踏板，最容易磨損那一機件","{""1"":""離合器軸"",""2"":""離合 器片"",""3"":""離合器釋放撥叉""}",2
067,multiple-choice,"離合器片磨損，則踏板空檔間隙","{""1"":""增大"",""2"":""減小"",""3"":""不變""}",2
068,multiple-choice,"踩煞車時車頭向右或向左偏是因為","{""1"":""煞車油太多"",""2"":""兩前輪內必 有一輪煞車失常"",""3"":""煞車管路內有空氣""}",2
069,multiple-choice,"煞車踏板沒有空檔間隙，會造成","{""1"":""煞車力量小"",""2"":""煞車力量過 強"",""3"":""煞車咬住不能放鬆""}",3
070,multiple-choice,"前置引擎後輪傳動汽車之離合器裝置在","{""1"":""變速箱前"",""2"":""變速箱 後"",""3"":""變速箱內""}",1
071,multiple-choice,"輪胎動平衡不良，汽車高速行駛會","{""1"":""煞車失靈"",""2"":""方向盤震動"",""3"":""方向盤無法操作""}",2
072,multiple-choice,"放開煞車時，未見踏板回升，其可能之原因為","{""1"":""踏板回拉彈簧失 效"",""2"":""連接組鬆動"",""3"":""煞車蹄片彈簧失效""}",1
073,multiple-choice,"汽車轉彎時，使驅動輪產生不同轉速的是","{""1"":""差速器"",""2"":""變速箱"",""3"":""離合器""}",1
074,multiple-choice,"顯示壓縮空氣壓力的是","{""1"":""油壓錶"",""2"":""氣壓錶"",""3"":""溫度錶""}",2
075,multiple-choice,"自排車要發動引擎時，應將排檔桿放在","{""1"":""Ｐ或Ｒ"",""2"":""Ｎ或Ｄ"",""3"":""Ｐ或Ｎ之位置上""}",3
076,multiple-choice,"汽車行駛時偏向一邊，其可能原因","{""1"":""輪胎氣壓不均"",""2"":""避震器太 弱"",""3"":""方向盤自由間隙太大""}",1
077,multiple-choice,"汽車正常使用，其時間愈長則離合器踏板空檔間隙","{""1"":""變大"",""2"":""變 小"",""3"":""不變""}",2
078,multiple-choice,"液壓操作離合器所使用的液壓油為","{""1"":""煞車油"",""2"":""機油"",""3"":""齒 輪油""}",1
079,multiple-choice,"輪胎構造中，那一部份強度最弱","{""1"":""胎面"",""2"":""胎邊（側面）"",""3"":""胎唇""}",2
080,multiple-choice,"汽車使用時間愈長，則煞車踏板空檔間隙","{""1"":""變大"",""2"":""變小"",""3"":""不變""}",1
081,multiple-choice,"輪胎氣壓不平均時，易造成","{""1"":""引擎爆震"",""2"":""煞車偏向"",""3"":""不 影響""}",2
082,multiple-choice,"輪胎氣壓過高時，易造成","{""1"":""耗油"",""2"":""轉向吃重"",""3"":""輪胎中央 快速磨損""}",3
